,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
area_0,,,,,,,,,,,,,,,,,,,,,,,
Resto 1a Seccion,120.6957443051386,125.56614590798338,123.1806564433683,100.0,100.0,100.0,35.578315380540346,36.77798480722373,43.98036050578423,37.474836659014656,29.60441450480149,30.97928436911488,16.062157866855024,15.002866561559408,12.772397094430993,8.935193360409677,5.650709473985954,4.576943771859026,6.675505231474846,6.339117567931127,1.4189479719076967,2.2666128598331987,1.5468832774147978
Resto 2a Seccion,126.50571664734305,133.87193734514668,128.8873498308516,100.0,100.0,100.0,36.558250999927886,39.50424459663691,47.75312325191125,32.33830569778601,25.19228500317432,28.04613622439466,17.88109595424463,16.12609626329421,11.206947071202153,12.060156549042231,8.681899646611345,7.7387389787166025,5.353079650094668,4.550757838097014,2.118646448415931,2.892304413840867,2.46195836083944
Resto 3a Seccion,124.65996386250013,136.1024583994349,127.93893289305942,100.0,100.0,100.0,36.893505226635334,41.03894299246152,47.697966519676484,33.260910531975036,30.873003925564806,31.731070659783907,16.79950338650497,12.66139398080063,9.517440280883612,9.719435545554312,6.236900309181652,3.740935024765408,4.6562525330893845,4.2749064766243805,3.090658545340853,3.8381157390959055,3.055059804236734
Resto 4a Seccion,124.29143391761373,135.70650728960663,129.09286393648256,100.0,100.0,100.0,41.35652568724031,43.263441976333816,50.81050904930596,31.576249965603587,23.9007316922158,25.226060347085337,15.132013428359153,15.62303100495686,11.153803741023061,10.524958036377646,6.092457633600297,4.554978152094504,7.680400919258911,6.744593160296083,1.6141662023025176,2.467710587619061,1.8333287471450979
Resto 5a Seccion,126.68985272950302,140.96233274329546,131.87033730570664,100.0,100.0,100.0,39.55138159154241,43.2349302422962,50.12283907043697,29.69340508958896,24.06022193037553,24.599648438040663,16.261087830507755,15.626867660214316,11.669365665960775,11.300901207518807,6.720341079959649,5.625337374911763,6.328251394202403,5.285194258744066,1.9855726222425245,2.9889687054492105,2.28492622294073
Resto 6a Seccion,126.94111221248963,140.19770708112375,132.10890233362142,100.0,100.0,100.0,41.27404770092853,43.94948156905725,50.216479939256374,28.88960815649465,22.801037293371937,23.4440504365948,13.650800072825845,13.59182246922423,11.280381909385374,12.493273724030505,10.369481827949102,7.62162860766242,5.206315235354272,4.841315357959273,2.0952980923985036,2.845741888060485,2.0120162644387354
Resto 7a Seccion,124.0151304444568,136.0472446564295,128.8592922819727,100.0,100.0,100.0,40.45502586638482,45.4081571967219,50.8921705210365,28.71001835678923,22.11887288427914,22.30593480078016,14.389497691494688,12.295267208259489,8.902758428531625,14.25933136785893,6.387306269551461,5.327389244915018,9.442984073364814,10.931178601281694,1.348827804408074,2.2401783226525493,1.8790676976136174
almirante brown,130.954298055077,139.7086967842729,131.49391791033702,100.0,100.0,100.0,25.78396125134197,26.685001952870717,32.01443439088592,40.97664344743215,40.31311027209999,42.968427737533865,20.179200059920603,15.420192683244368,10.259278933327003,7.496005292986793,4.440828017185263,2.7485881658174396,6.273597187866163,5.7265715650808815,4.420648353079026,6.030156718787558,5.1843806955783585
